profile,scenario,variable_value,trial,latency_ms,memory_mb,tokens,cache_hit_rate
Baseline v1.0,server_scaling,10,2,109.36630000014702,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,3,108.30880000048637,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,4,108.11949999970238,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,5,108.13380000035977,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,6,108.87319999983447,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,7,107.95230000076117,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,8,107.7093000003515,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,9,109.12660000030883,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,10,108.4104000001389,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,11,109.1004999998404,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,12,108.83970000031695,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,13,108.48390000046493,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,14,108.38909999984025,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,15,108.98720000022877,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,16,108.44180000003689,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,17,108.5681000004115,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,18,93.15139999944222,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,19,106.985700000223,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,20,109.70029999953113,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,21,108.56570000032661,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,22,109.88429999997607,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,23,107.80250000061642,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,24,108.11699999976554,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,25,108.34109999996144,2.6702880859375e-05,3547,0.0
