profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
ADV1: Batch Discovery,context_scaling,64,30,92.74689000009555,92.67804999990403,93.58080000038171,93.66530000079365,4.8065185546875e-05,1202,0.7
ADV1: Batch Discovery,context_scaling,128,30,92.66069666673502,92.49524999995629,93.73370000048453,93.94190000057279,4.9591064453125e-05,1285,0.7
ADV1: Batch Discovery,context_scaling,256,30,92.80880999995134,92.7121999998235,93.83499999967171,93.98779999992257,4.9591064453125e-05,1451,0.7
ADV1: Batch Discovery,context_scaling,512,30,92.74248000001535,92.74924999999712,93.81319999920379,94.28610000031767,4.9591064453125e-05,1782,0.7
ADV1: Batch Discovery,context_scaling,1024,30,92.54909000007198,92.49735000003056,93.41719999974885,93.64980000009382,4.9591064453125e-05,2445,0.7
ADV1: Batch Discovery,server_scaling,1,30,77.28020000001077,77.2063999997954,78.10070000050473,78.34139999977197,4.8065185546875e-05,1052,0.7
ADV1: Batch Discovery,server_scaling,5,30,77.43286333343349,77.4405500001194,78.07950000005803,78.34450000063953,4.9591064453125e-05,1136,0.7
ADV1: Batch Discovery,server_scaling,10,30,77.25318999998005,77.3802000003343,77.81200000044919,77.89760000014212,4.9591064453125e-05,1241,0.7
ADV1: Batch Discovery,server_scaling,20,30,92.76294000001144,92.72534999990967,93.73649999997724,93.772700000045,4.9591064453125e-05,1451,0.7
ADV1: Batch Discovery,server_scaling,30,30,108.05999333339666,108.07589999967604,108.9006000001973,109.1697000001659,4.9591064453125e-05,1661,0.7
ADV1: Batch Discovery,server_scaling,40,30,108.23315333333692,108.20920000014667,109.26370000015595,109.77869999987888,4.9591064453125e-05,1871,0.7
ADV1: Batch Discovery,server_scaling,50,30,123.58749333328281,123.56199999976525,124.43170000005921,124.63729999944917,8.087158203125e-05,2081,0.7
ADV2: Request Batching,context_scaling,64,30,91.69745666658855,92.57259999958478,93.63649999977497,93.98420000070473,4.9591064453125e-05,1202,0.0
ADV2: Request Batching,context_scaling,128,30,92.29004666664575,92.728950000037,94.09400000004098,94.49529999983497,4.9591064453125e-05,1285,0.0
ADV2: Request Batching,context_scaling,256,30,92.3159266667426,92.732199999773,93.69220000007772,94.3053000000873,4.9591064453125e-05,1451,0.0
ADV2: Request Batching,context_scaling,512,30,91.60015666681527,92.5851000001785,92.94880000015837,92.96520000043529,4.9591064453125e-05,1782,0.0
ADV2: Request Batching,context_scaling,1024,30,92.07225000000108,92.48600000000806,93.25859999989916,93.49569999994856,4.9591064453125e-05,2445,0.0
ADV2: Request Batching,server_scaling,1,30,77.43060333329292,77.34334999986459,78.48569999987376,78.50830000006681,4.9591064453125e-05,1052,0.0
ADV2: Request Batching,server_scaling,5,30,77.44571333335746,77.39129999981742,78.50469999993948,78.90889999998763,4.9591064453125e-05,1136,0.0
ADV2: Request Batching,server_scaling,10,30,77.45799000003899,77.49835000004168,78.5745000002862,78.60449999952834,4.9591064453125e-05,1241,0.0
