profile,scenario,variable_value,trial,latency_ms,memory_mb,tokens,cache_hit_rate
Baseline v1.0,server_scaling,10,2,107.98780000004626,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,3,93.09770000072604,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,4,93.84870000030787,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,5,108.77019999952608,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,6,108.66619999978866,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,7,93.85359999942011,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,8,108.47780000040075,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,9,108.5040999996636,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,10,108.38549999971292,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,11,108.97449999993114,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,12,107.79880000063713,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,13,94.07019999980548,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,14,108.73839999931079,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,15,108.80329999963578,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,16,108.3212999992611,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,17,108.07819999990897,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,18,108.25710000062827,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,19,108.93680000026507,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,20,107.78940000000148,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,21,108.56460000013612,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,22,108.09310000058758,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,23,107.82430000017484,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,24,109.48159999952622,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,25,108.22170000028564,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,26,108.29050000029383,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,27,108.85540000072069,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,28,108.40449999977864,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,29,107.98129999966477,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,30,109.1827000000194,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,20,1,123.27390000064042,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,2,123.13569999969332,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,3,123.95349999951577,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,4,109.90980000042327,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,5,123.19479999951,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,6,124.29230000088864,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,7,123.57189999966067,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,8,123.43240000063815,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,9,123.8309999998819,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,10,124.33809999947698,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,11,124.60540000029141,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,12,124.23620000026858,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,13,124.65470000006462,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,14,122.74580000030255,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,15,124.47340000016993,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,16,122.23289999928966,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,17,109.90849999961938,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,18,123.96530000023631,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,19,122.87490000016987,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,20,124.11369999972521,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,21,123.85640000047715,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,22,123.72270000014396,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,23,123.63379999987956,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,24,123.74439999985043,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,25,123.60640000042622,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,26,123.00340000001597,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,27,123.82029999935185,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,28,123.79419999979291,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,29,124.1823000000295,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,30,123.72690000029252,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,30,1,155.85509999982605,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,2,139.16909999989002,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,3,154.10879999944882,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,4,154.7362000001158,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,5,140.58269999986805,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,6,154.29969999968307,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,7,154.20180000000983,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,8,153.75180000046385,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,9,139.94110000021465,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,10,155.1420000005237,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,11,139.6930999999313,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,12,155.1379000002271,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,13,154.83210000002146,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,14,154.57409999999072,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,15,154.49050000006537,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,16,154.47070000027452,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,17,155.12969999963389,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,18,156.0269999999946,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,19,155.59960000064166,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,20,156.8280000001323,2.6702880859375e-05,4747,0.0
