experiment,strategy,x_value,trial,context_kb,server_count,latency_ms,peak_memory_mb,token_count
server_scaling,baseline,30,2,256,30,92.668,2.692,37450.0
server_scaling,baseline,30,3,256,30,92.278,2.692,37450.0
server_scaling,baseline,30,4,256,30,91.698,2.692,37450.0
server_scaling,baseline,30,5,256,30,94.126,2.692,37450.0
server_scaling,baseline,30,6,256,30,92.176,2.692,37450.0
server_scaling,baseline,30,7,256,30,92.387,2.692,37450.0
server_scaling,baseline,30,8,256,30,93.082,2.692,37450.0
server_scaling,baseline,30,9,256,30,92.639,2.692,37450.0
server_scaling,baseline,30,10,256,30,92.926,2.692,37450.0
server_scaling,baseline,30,11,256,30,92.294,2.692,37450.0
server_scaling,baseline,30,12,256,30,92.841,2.692,37450.0
server_scaling,baseline,30,13,256,30,92.699,2.692,37450.0
server_scaling,baseline,30,14,256,30,92.960,2.692,37450.0
server_scaling,baseline,30,15,256,30,92.136,2.692,37450.0
server_scaling,baseline,30,16,256,30,92.991,2.692,37450.0
server_scaling,baseline,30,17,256,30,91.722,2.692,37450.0
server_scaling,baseline,30,18,256,30,93.262,2.692,37450.0
server_scaling,baseline,30,19,256,30,91.401,2.692,37450.0
server_scaling,baseline,30,20,256,30,92.851,2.692,37450.0
server_scaling,baseline,30,21,256,30,93.186,2.692,37450.0
server_scaling,baseline,30,22,256,30,92.872,2.692,37450.0
server_scaling,baseline,30,23,256,30,92.724,2.692,37450.0
server_scaling,baseline,30,24,256,30,92.855,2.692,37450.0
server_scaling,baseline,30,25,256,30,92.130,2.692,37450.0
server_scaling,baseline,40,1,256,40,123.849,2.758,37450.0
server_scaling,baseline,40,2,256,40,124.015,2.757,37450.0
server_scaling,baseline,40,3,256,40,123.881,2.757,37450.0
server_scaling,baseline,40,4,256,40,123.485,2.757,37450.0
server_scaling,baseline,40,5,256,40,109.303,2.757,37450.0
server_scaling,baseline,40,6,256,40,123.371,2.757,37450.0
server_scaling,baseline,40,7,256,40,123.632,2.757,37450.0
server_scaling,baseline,40,8,256,40,124.418,2.757,37450.0
server_scaling,baseline,40,9,256,40,123.086,2.757,37450.0
server_scaling,baseline,40,10,256,40,123.738,2.757,37450.0
server_scaling,baseline,40,11,256,40,123.785,2.757,37450.0
server_scaling,baseline,40,12,256,40,123.897,2.757,37450.0
server_scaling,baseline,40,13,256,40,123.021,2.757,37450.0
server_scaling,baseline,40,14,256,40,108.163,2.757,37450.0
server_scaling,baseline,40,15,256,40,123.535,2.757,37450.0
server_scaling,baseline,40,16,256,40,123.799,2.757,37450.0
server_scaling,baseline,40,17,256,40,123.154,2.757,37450.0
server_scaling,baseline,40,18,256,40,122.851,2.757,37450.0
server_scaling,baseline,40,19,256,40,124.270,2.757,37450.0
server_scaling,baseline,40,20,256,40,123.189,2.757,37450.0
server_scaling,baseline,40,21,256,40,123.947,2.757,37450.0
server_scaling,baseline,40,22,256,40,122.726,2.757,37450.0
server_scaling,baseline,40,23,256,40,124.229,2.757,37450.0
server_scaling,baseline,40,24,256,40,123.480,2.757,37450.0
server_scaling,baseline,40,25,256,40,124.252,2.757,37450.0
server_scaling,baseline,50,1,256,50,139.132,2.823,37450.0
server_scaling,baseline,50,2,256,50,139.694,2.823,37450.0
server_scaling,baseline,50,3,256,50,139.001,2.823,37450.0
server_scaling,baseline,50,4,256,50,140.576,2.823,37450.0
server_scaling,baseline,50,5,256,50,138.564,2.823,37450.0
server_scaling,baseline,50,6,256,50,139.727,2.823,37450.0
server_scaling,baseline,50,7,256,50,139.063,2.823,37450.0
server_scaling,baseline,50,8,256,50,139.202,2.823,37450.0
server_scaling,baseline,50,9,256,50,138.656,2.823,37450.0
server_scaling,baseline,50,10,256,50,139.291,2.823,37450.0
server_scaling,baseline,50,11,256,50,139.611,2.823,37450.0
server_scaling,baseline,50,12,256,50,138.865,2.823,37450.0
server_scaling,baseline,50,13,256,50,139.317,2.823,37450.0
server_scaling,baseline,50,14,256,50,139.593,2.823,37450.0
server_scaling,baseline,50,15,256,50,139.279,2.823,37450.0
server_scaling,baseline,50,16,256,50,138.563,2.823,37450.0
server_scaling,baseline,50,17,256,50,139.785,2.823,37450.0
server_scaling,baseline,50,18,256,50,138.956,2.823,37450.0
server_scaling,baseline,50,19,256,50,138.843,2.823,37450.0
server_scaling,baseline,50,20,256,50,138.880,2.823,37450.0
server_scaling,baseline,50,21,256,50,138.918,2.823,37450.0
server_scaling,baseline,50,22,256,50,138.531,2.823,37450.0
server_scaling,baseline,50,23,256,50,137.964,2.823,37450.0
